Model,product Name,Category,Pictures,Description,ონლაინ
1101,ინდუსტრიული ფენი,ფენი,D:\FumaCRM8 Client\20210329\tmpfiles\DA185E73-5830-4A8E-9D65-21B200934379.jpg,"Power 2000W
Voltage 220V
Frequency 50Hz
Temp & Air Stream: 
1: 250 L/min 50oC                                                                                                                                                                                                                             2: 250 L/min 50~600oC
3: 500 L/min 50~600oC
Cable length 3m
Accessories OK
BMC OK
",157.69 ₾
1102,ინდუსტრიული ფენი,ფენი,D:\FumaCRM8 Client\20210329\tmpfiles\B6EBDCDD-C0A8-4BBD-A85B-21B200934652.jpg,"Rated Voltage:220V
Rated Output Power:2000W
Frequency:50 Hz
Air Temperature 1:50℃
Air Temperature 2:50-600℃
Air Temperature 3:50-600℃
Air Volume:250~500L/Min
Air Flow 1:250 L/min
Air Flow 2:250 L/min
Air Flow 3:500 L/min
Weight:1kg
",137.69 ₾
1103,MPP ინდუსტრიული ფენი,ფენი,D:\FumaCRM8 Client\20210329\tmpfiles\46C9920A-0770-4AFF-B0B5-21B2009348AC.jpg,"Power：2000W 
Voltage:220-240V
Frequency:50~60Hz
Temperature&Air Flow:  I:50°C, 250l/min 
                                   II: 50-450°C, 250l/min
                                   III：90-600℃，500l/min
Cable length: 1.8m
VDE 插头",92.31 ₾
1360,საღებავის გამფრქვევი,საღებავსკი,D:\FumaCRM8 Client\20210329\tmpfiles\DEDBA67A-EA86-4A63-9B21-21B2009359F1.jpg,"Power:600W
Frequency:50-60Hz
Voltage:220-240V
Painting System:HVLP
Paint Reservior:1000ml
Max. Viscosity:100 din/sec
Max. Flow:1200ml/min
Air pressure:22Kpa
Assembled nozzle Size: 2.6mm

*Viscosity cupX1PC
*Cleaning needleX1PC
*Cleaning brushX1PC
*Nozzles: 2.2/1.8/1.5mm each 1pc",129.23 ₾
1365,HVLP საღებავის გამფრქვევი 850v,საღებავსკი,D:\FumaCRM8 Client\20210329\tmpfiles\43093A00-C6E2-4E1E-85F3-21B200935DBD.jpg,"Power: 650W
Voltage: 220V
Frequency: 50Hz
Max flow: 800ml/min
Paint reservoir :800ml
Max Viscosity :60din/sec
Nozzle :1.8/2.6mm
Weight :2kg
",206.15 ₾
1380, საღებავის გამფრქვევი 800v,საღებავსკი,Picture,"Voltage 220V
Frequency 50Hz
Paint Reservior 800ml
Max. Viscosity 120 Din/sec
Power 800W
Max. Flow 1200 ml/min",192.31 ₾
